target,source,flow
ASI_NME,FR,0
ASI_OTH,FR,9
AU,FR,5
NZ,FR,0
PG,FR,0
TOTAL,FR,99917
NSP,FR,195
BE,HR,45
BG,HR,10
CZ,HR,0
DK,HR,0
DE,HR,8
EE,HR,0
IE,HR,0
EL,HR,8
ES,HR,98
FR,HR,25
HR,HR,0
IT,HR,506
CY,HR,0
LV,HR,0
LT,HR,0
LU,HR,0
HU,HR,177
MT,HR,0
NL,HR,36
AT,HR,101
PL,HR,4
PT,HR,0
RO,HR,10
SI,HR,225
SK,HR,12
FI,HR,0
SE,HR,0
UK,HR,1
IS,HR,0
NO,HR,0
CH,HR,370
ME,HR,0
MK,HR,0
RS,HR,3
TR,HR,420
BY,HR,0
BA,HR,86
MD,HR,0
RU,HR,1689
UA,HR,0
EX_SU_OTH,HR,0
EUR_OTH,HR,0
AO,HR,0
CM,HR,0
CG,HR,0
CD,HR,0
GQ,HR,0
GA,HR,0
DZ,HR,0
EG,HR,0
LY,HR,0
TN,HR,0
NG,HR,111
AFR_OTH,HR,0
CA,HR,0
US,HR,3
BS,HR,0
AN,HR,0
TT,HR,0
MX,HR,0
AR,HR,0
BR,HR,0
CL,HR,0
CO,HR,0
EC,HR,0
PE,HR,0
VE,HR,0
AME_OTH,HR,0
KZ,HR,0
KG,HR,0
TJ,HR,0
TM,HR,0
UZ,HR,0
CN_X_HK,HR,0
HK,HR,0
JP,HR,0
KR,HR,0
IN,HR,0
IR,HR,0
BN,HR,0
ID,HR,0
MY,HR,0
SG,HR,0
TH,HR,0
VN,HR,0
AM,HR,0
AZ,HR,0
BH,HR,0
GE,HR,81
IQ,HR,0
IL,HR,0
KW,HR,0
OM,HR,0
QA,HR,0
SA,HR,0
SY,HR,0
AE,HR,0
YE,HR,0
ASI_NME,HR,0
ASI_OTH,HR,0
AU,HR,0
NZ,HR,0
PG,HR,0
TOTAL,HR,4029
NSP,HR,0
BE,IT,435
BG,IT,0
CZ,IT,0
DK,IT,20
DE,IT,130
EE,IT,35
IE,IT,0
EL,IT,225
ES,IT,688
FR,IT,660
HR,IT,40
IT,IT,0
CY,IT,0
LV,IT,33
LT,IT,0
LU,IT,0
HU,IT,29
MT,IT,268
NL,IT,173
AT,IT,13
PL,IT,16
PT,IT,12
RO,IT,1
SI,IT,22
SK,IT,0
FI,IT,1
SE,IT,0
UK,IT,482
IS,IT,0
NO,IT,538
CH,IT,3
ME,IT,5
MK,IT,0
RS,IT,2
TR,IT,481
BY,IT,65
BA,IT,0
MD,IT,0
RU,IT,13950
UA,IT,1042
EX_SU_OTH,IT,29
EUR_OTH,IT,412
AO,IT,1044
CM,IT,242
CG,IT,272
CD,IT,0
GQ,IT,1000
GA,IT,223
DZ,IT,1657
EG,IT,2182
LY,IT,15378
TN,IT,1832
NG,IT,2397
AFR_OTH,IT,1217
CA,IT,82
US,IT,2634
BS,IT,0
AN,IT,0
TT,IT,0
MX,IT,0
AR,IT,0
BR,IT,0
CL,IT,0
CO,IT,0
EC,IT,0
PE,IT,0
VE,IT,77
AME_OTH,IT,32
KZ,IT,3657
KG,IT,0
TJ,IT,0
TM,IT,426
UZ,IT,0
CN_X_HK,IT,0
HK,IT,0
JP,IT,44
KR,IT,7
IN,IT,360
IR,IT,3226
BN,IT,0
ID,IT,0
MY,IT,0
SG,IT,0
TH,IT,0
VN,IT,0
AM,IT,0
AZ,IT,10870
BH,IT,74
GE,IT,242
IQ,IT,5906
IL,IT,110
KW,IT,0
OM,IT,18
QA,IT,95
SA,IT,10192
SY,IT,0
AE,IT,0
YE,IT,31
ASI_NME,IT,366
ASI_OTH,IT,0
AU,IT,0
NZ,IT,0
